,dataset,total score,accuracy,completeness,fluency,conciseness,prompt,n_few_shot,n_bootstrapped_few_shot
0,housing_1.json,13.39607843137255,4.0,4.0,3.2,2.1960784313725497,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",,
1,housing_1.json,13.27450980392157,4.0,4.0,3.0,2.274509803921569,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",,
2,housing_1.json,14.01045751633987,4.0,4.0,3.2,2.8104575163398695,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",,
3,housing_2.json,11.08,4.0,4.0,2.6,0.4800000000000001,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",,
4,housing_2.json,11.16,4.0,4.0,2.2,0.96,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",,
5,housing_2.json,11.142222222222221,4.0,4.0,2.2,0.9422222222222221,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",,
6,housing_3.json,9.8,4.0,4.0,1.8,0.0,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",,
7,housing_3.json,10.2,4.0,4.0,2.2,0.0,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",,
8,housing_3.json,9.8,4.0,4.0,1.8,0.0,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",,
9,mushroom_1.json,10.896969696969697,4.0,4.0,1.2,1.6969696969696977,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",,
10,mushroom_1.json,10.816835016835018,4.0,4.0,1.4,1.4168350168350172,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",,
11,mushroom_1.json,10.57777777777778,4.0,4.0,0.8,1.7777777777777786,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",,
12,mushroom_2.json,10.171428571428573,4.0,4.0,1.6,0.5714285714285721,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",,
13,mushroom_2.json,10.126984126984128,4.0,4.0,1.6,0.5269841269841276,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",,
